# Public records to retrieve from an unrestricted network, for the open questions in
# Reports/LIDAR_ACQUISITION_RECORDS_2026-09-09.md. Fetched by Scripts/qc/fetch_city_records.py.
#
# Tab-separated. Columns: id, priority, url, note
#   url      one or more candidate URLs separated by " | ", tried left to right until one
#            returns something that is not a portal shell. Laserfiche and PrimeGov are portal
#            applications, so several endpoint forms are listed for those.
#   priority 1 = decides an open question outright; 2 = closes a documented gap; 3 = context.
#
# URL provenance: rows marked VERIFIED were retrieved successfully during the 2026-09-09
# investigation or are recorded in Reports/inventory.csv. Rows marked UNVERIFIED are
# reconstructed from search-engine indexing and were never opened — if one 404s, that is
# information, not a bug. Do not treat an UNVERIFIED url as evidence that the document exists.
#
id	priority	url	note
rfp-18-26-djc	1	https://www.djc.com/notices/index.php?action=get&id=420530	UNVERIFIED. Legal advertisement for "2026 Tree Canopy Assessment (RFP 18-26)". Should carry the scope summary. THE decisive question: does the 2026 work buy a FLIGHT or a desk analysis of existing data?
rfp-18-26-highergov	1	https://www.highergov.com/sl/contract-opportunity/wa-2026-tree-canopy-assessment-63770355/	UNVERIFIED. Aggregator listing for the same RFP. Also confirms whether the issuing jurisdiction is actually Edmonds.
edmonds-bids-page	1	https://www.edmondswa.gov/doing_business/bids_rfp_s_and_rfq_s	UNVERIFIED. City bids/RFP/RFQ index. Look for the RFP 18-26 packet, addenda, and any award notice.
ila-1462454	1	https://weblink.edmondswa.gov/WebLink/DocView.aspx?id=1462454&dbid=0&repo=Edmonds | https://weblink.edmondswa.gov/WebLink/0/edoc/1462454/document.pdf | https://weblink.edmondswa.gov/WebLink/ElectronicFile.aspx?docid=1462454&dbid=0&repo=Edmonds | https://weblink.edmondswa.gov/WebLink/DocDownload.aspx?dbid=0&docid=1462454&repo=Edmonds	UNVERIFIED endpoints; the viewer URL is first so its links can be harvested. The 2021 Edmonds-Snohomish County interlocal work order. ONE sentence from it carries the whole conflation conclusion and has only ever been read via our own QC ledger - citing it back to the ledger is circular. Read the full work order and its exhibits; look for ANY elevation, DSM, DTM, contour or point-cloud deliverable alongside the orthogonal imagery, and for a successor or amendment covering 2026.
weblink-search-lidar	1	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds&searchcommand=%7BLF%3ABasic%3D%22lidar%22%7D	UNVERIFIED. Laserfiche full-text search for "lidar" - recommended by six research channels and executed by none. This is the only Edmonds system with true full-text search across packets, contracts and voucher listings. Repeat manually for: orthophoto, EagleView, Pictometry, NV5, Quantum Spatial, aerial imagery, photogrammetric, planimetric.
savatree-2022	2	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Planning%20and%20Development/Planning%20Division/Code%20Updates/Tree%20Code%20Updates/Edmonds-Tree-Canopy-Assessment-2015-2020_FINAL.pdf	VERIFIED (Reports/inventory.csv). SavATree/UVM Tree Canopy Assessment 2015-2020. Read its data-sources table for exactly how the "2017 LiDAR" and the "City of Edmonds" source credit are worded.
ufmp-2019	2	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Development%20Services/Planning%20Division/Tree%20Code%20Updates/EdmondsWA_UFMP_2019_MidResolution.pdf	VERIFIED (Reports/inventory.csv). 2019 Davey Urban Forest Management Plan. The planning channel that was assigned this never ran. Search for lidar, aerial, imagery.
utc-2018	2	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Development%20Services/Planning%20Division/Urban%20Forest%20Mgmt%20Plan/Edmonds-UTC-Assessment---FINAL-no-watermark-20180308.pdf	UNVERIFIED. A 2018-dated Urban Tree Canopy Assessment that appears in no project document and that nobody has ever opened. Source of the 30.3% benchmark the UFMP inherited.
scopi-imagery	2	https://snohomishcountywa.gov/5414/Interactive-Map-SCOPI | https://snohomishcountywa.gov/736/Orthophoto-Data-Products	UNVERIFIED. Snohomish County's own description of the even-year 2020/2022/2024 acquisitions. Needed as a live citation for the "aerial photos, 3-inch urban / 9-inch rural" quote currently sourced only to our QC ledger.
edmonds-gis-basemap	2	https://maps.edmondswa.gov/gis/rest/services/Basemap?f=json	UNVERIFIED. The City's own GIS service list. Two questions: does a 2026_Aerial_Cached service now exist alongside 2020/2022/2024, and is there ANY lidar, DEM, DSM, hillshade or canopy-height service?
