tracker_id,outcome_class,tracker_title,tracker_authors,tracker_year,stored_doi,tracker_doi,resolved_doi,resolved_title,title_ratio,registry_first_author,registry_year,hunt_state,hunt_reason,work_key,file_bound,attempt_statuses,verdict,candidate_vs_tracker_doi,seconds,hunt_request_id,author_passed,note
2,E24,Efficient tree mapping through deep distance transform (DDT) learning,"Li, W. et al.",2025,10.2139/ssrn.4979539,10.1016/j.tfp.2025.100146,10.2139/ssrn.4979539,Efficient Tree Mapping through Deep Distance Transform (DDT) Learning,1.00,Schindler,2024,refused,ambiguous-title,,n,,registry-quirk,different,13.22,01a0c6b6-9483-711b-84cf-f18dd6eda6df,Li,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Li, W. et al.' / year 2025 vs Crossref 'Schindler' / 2024 | tracker DOI/URL column holds '10.1016/j.tfp.2025.100146', which is not the candidate the title resolved to; the 2026-09-15 correction to '10.2139/ssrn.4979539' is independently corroborated"
10,E24,The co-effect of image resolution and crown size on deep learning for individual tree detection and delineation,"Qin, H. et al.",2023,10.1080/17538947.2023.2257636,10.1080/17538947.2023.2257636,10.1080/17538947.2023.2257636,The co-effect of image resolution and crown size on deep learning for individual tree detection and delineation,1.00,Hao,2023,refused,ambiguous-title,,n,,registry-quirk,same,13.14,01a0c6b7-fa34-7df9-812c-a56b1461995e,Qin,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Qin, H. et al.' / year 2023 vs Crossref 'Hao' / 2023"
20,E24,Normalizing shadows in multi-temporal aerial frame imagery using relative radiometric adjustments,"Storey, E.A. et al.",2019,10.1080/15481603.2018.1489446,10.1080/15481603.2018.1489446,10.1080/15481603.2018.1489446,Normalizing shadows in multi-temporal aerial frame imagery using relative radiometric adjustments to support near-real-time change detection,0.82,Storey,2018,refused,ambiguous-title,,n,,unresolved,same,13.06,01a0c6b8-2ff7-700f-8e66-0b9e94f21ebb,Storey,"best candidate scored 0.82 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
22,E24,Towards misregistration-tolerant change detection using deep learning techniques with object-based image analysis,"Chen, B. et al.",2019,10.1145/3347146.3359068,10.1145/3347146.3359068,10.1145/3347146.3359068,Towards Misregistration-Tolerant Change Detection using Deep Learning Techniques with Object-Based Image Analysis,1.00,Liu,2019,refused,ambiguous-title,,n,,registry-quirk,same,12.86,01a0c6b8-6588-77d4-9e4c-961b07c7d2d2,Chen,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Chen, B. et al.' / year 2019 vs Crossref 'Liu' / 2019"
24,E24,Change detection using deep learning approach with object-based image analysis,"Wang, Q. et al.",2021,10.1016/j.rse.2021.112308,10.1016/j.rse.2021.112308,10.1016/j.rse.2021.112308,Change detection using deep learning approach with object-based image analysis,1.00,Liu,2021,refused,ambiguous-title,,n,,registry-quirk,same,12.91,01a0c6b8-9a19-7c71-ac5e-9138141c2d2c,Wang,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Wang, Q. et al.' / year 2021 vs Crossref 'Liu' / 2021"
25,E23,Assessment of the spatial co-registration of multitemporal imagery from large format digital cameras,"Stow, D. et al.",2013,10.3390/s8042161,10.3390/rs5041397,10.3390/s8042161,Assessment of the Spatial Co-registration of Multitemporal Imagery from Large Format Digital Cameras in the Context of Detailed Change Detection,0.82,Coulter,2008,refused,ambiguous-title,,n,,unresolved,different,1.81,01a0c6b8-cee5-7c25-bf89-6d27f5f97148,Stow,"best candidate scored 0.82 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
28,E23,SelvaBox: A high-resolution dataset for tropical tree crown detection,"Baudchon, H. et al.",2025,10.5194/egusphere-egu25-16271,https://arxiv.org/abs/2507.00170,10.5194/egusphere-egu25-16271,Global 500m Resolution Tree Crown Structure Dataset,0.49,Xiang,2025,refused,ambiguous-title,,n,,unresolved,different,13.08,01a0c6b8-da3f-7d69-b79a-762a6a5c1afe,Baudchon,"best candidate scored 0.49 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
33,E24,Scalable sub-meter mapping of woody vegetation and structures across California using deep learning,"Wagner, F. et al.",2025,10.1016/j.rse.2025.115091,10.1016/j.rse.2025.114632,10.1016/j.rse.2025.115091,Scalable sub-meter mapping of woody vegetation and structures across California’s heterogeneous landscape using deep learning,0.88,Zhu,2026,refused,ambiguous-title,,n,,registry-quirk,different,12.91,01a0c6b9-0fb9-766a-b2a8-dfef3b26fef9,Wagner,"gate 0 matched the title at ratio 0.88 on the SAME doi as stored and refused on the claim: tracker first author 'Wagner, F. et al.' / year 2025 vs Crossref 'Zhu' / 2026 | tracker DOI/URL column holds '10.1016/j.rse.2025.114632', which is not the candidate the title resolved to; the 2026-09-15 correction to '10.1016/j.rse.2025.115091' is independently corroborated"
39,E24,Urban tree canopy mapping based on double-branch CNN and multi-temporal high spatial resolution satellite imagery,"Zhou, Y. et al.",2023,10.3390/rs15030765,10.3390/rs15030765,10.3390/rs15030765,Urban Tree Canopy Mapping Based on Double-Branch Convolutional Neural Network and Multi-Temporal High Spatial Resolution Satellite Imagery,0.90,Chen,2023,refused,ambiguous-title,,n,,registry-quirk,same,13.27,01a0c6b9-44e4-7588-ac5f-6c6e2b196d21,Zhou,"gate 0 matched the title at ratio 0.90 on the SAME doi as stored and refused on the claim: tracker first author 'Zhou, Y. et al.' / year 2023 vs Crossref 'Chen' / 2023"
46,E24,SAMOIS: Efficient fine-tuned SAM with multi-scale enhancement for optical remote sensing image segmentation,"Li, H. et al.",2025,10.1080/22797254.2025.2609404,10.1080/22797254.2025.2609404,10.1080/22797254.2025.2609404,SAMOIS: efficient fine-tuned SAM with multi-scale enhancement for optical remote sensing image segmentation,1.00,He,2025,refused,ambiguous-title,,n,,registry-quirk,same,12.92,01a0c6b9-7b49-7ad8-8d09-b441b5c512e5,Li,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Li, H. et al.' / year 2025 vs Crossref 'He' / 2025"
